lat,lon,time,water_level,flood_level,severity,duration
30.85935514,-95.39883,0,132.81,131.2443695,1.011929125,7200
39.7284397,-79.9109193,0,10.01,9.700626688,1.031892095,7200
40.14951635,-79.901437,0,13.95,12.49529299,1.1164204,7200
41.39482097,-71.96062898,0,1.98,1.181752266,1.675478065,7200
48.0333506,-106.0005722,0,43.78,43.72066938,1.001357038,7200
40.14805556,-79.8922222,0,10.16,10.13956545,1.002015328,7200
41.31055556,-71.8583333,0,0.65,-0.149035897,0,7200
41.6001611,-70.4661167,0,0.65,0.055071274,11.80288656,7200
39.72702308,-79.9114471,0,12.93,11.96611294,1.080551392,7200
33.88841667,-84.1828056,0,4.35,3.84614094,1.131003795,7200
30.07,-92.8788611,0,11.94,8.78089198,1.359770742,7200
39.9974111,-79.9589417,0,11.26,11.03095588,1.02076376,7200
39.82638889,-79.9208333,0,11.04,10.96219048,1.00709799,7200
35.9475,-77.2025,0,14.58,8.63892038,1.68771089,7200
35.8597222,-77.04027778,0,9.83,6.978611512,1.408589658,7200
29.9511111,-92.1563611,0,5.96,5.005763187,1.190627638,7200
29.68083333,-91.4705556,0,2.78,2.239953171,1.241097375,7200
47.26010078,-122.238453,0,73.02,72.3539992,1.009204755,7200
41.67891099,-88.000967,0,25.66,24.98787879,1.02689789,7200
30.14186928,-92.0756783,0,6.36,3.081826638,2.063711152,7200
42.59027778,-88.4344444,0,2.53,2.464292347,1.026663903,7200
39.91923887,-81.53123339,0,7.85,6.648181818,1.180773964,7200
38.8650952,-80.6762077,0,5.1,4.326307526,1.178834368,7200
30.72666667,-93.095,0,7.25,6.249715608,1.160052786,7200
38.66315555,-80.7095413,0,14.15,13.31314582,1.062859236,7200
39.2681306,-81.5637358,0,22.76,22.4601128,1.01335199,7200
38.9217307,-81.0947567,0,11.5,9.475874724,1.213608277,7200
38.59232159,-80.8845474,0,4.42,3.478228782,1.270761723,7200
29.70437513,-91.3739966,0,2.94,2.59353352,1.133588588,7200
29.70409736,-91.3728854,0,2.99,2.536931765,1.17858905,7200
32.31666667,-96.3593056,0,27.91,25.10646724,1.111665761,7200
31.39629597,-94.1510289,0,12.92,4.458031985,2.898139817,7200
38.72913196,-82.9968686,0,26.06,22.27185417,1.170086684,7200
30.07075759,-91.8290058,0,8.97,4.240172195,2.115480124,7200
30.2174229,-91.9928975,0,10.88,6.211909123,1.751474432,7200
37.9722644,-87.5764045,0,23.33,21.60576838,1.079804226,7200
31.86017169,-94.8232697,0,16.05,8.612880208,1.863488126,7200
33.4256647,-86.9527705,0,4.09,1.750122549,2.336979203,7200
31.30316389,-93.8443472,0,191.66,180.5795536,1.061360471,7200
38.41341549,-82.500434,0,29.06,28.11789105,1.033505676,7200
30.219367,-91.955952,0,8.86,4.049002708,2.188193152,7200
27.0389222,-81.0714972,0,18.84,18.74885453,1.004861389,7200
29.9835356,-91.5251136,0,7.2,6.678178794,1.07813825,7200
30.08527778,-91.5988889,0,13.94,13.05166951,1.068062595,7200
30.36825387,-91.9876184,0,16.05,7.091089505,2.263403951,7200
35.9823333,-78.8245,0,2.26,1.545523282,1.462287904,7200
36.05941667,-78.9780833,0,3.34,2.52801893,1.321192638,7200
35.8211111,-78.6341667,0,4.57,3.444592612,1.326717123,7200
30.07607343,-81.86371139,0,12.79,12.22781733,1.045975717,7200
30.33888889,-91.7325,0,14.39,11.93285142,1.205914621,7200
27.0964472,-81.0091722,0,19.84,19.42013287,1.021620199,7200
30.10655556,-91.3854167,0,11.51,10.75436707,1.070262892,7200
35.75788889,-78.6238333,0,2.98,2.474582844,1.204243377,7200
35.75688889,-78.6406111,0,1.7,1.125170843,1.510881668,7200
29.9415,-91.0232222,0,5.74,5.687524752,1.009226377,7200
31.8604403,-93.2062789,0,21.85,14.238788,1.534540721,7200
48.2112101,-122.337374,0,9.29,7.018523077,1.323640301,7200
35.91538889,-78.8935278,0,2.21,0.787192702,2.807444727,7200
35.0497222,-78.85638889,0,16.6,13.19357879,1.25818781,7200
35.5125,-78.3494444,0,9.2,7.10031135,1.295717828,7200
30.56602634,-91.8315047,0,17.44,13.14759062,1.326478783,7200
27.5909972,-80.6790194,0,23.76,23.7087988,1.002159586,7200
38.65870475,-85.144789,0,14.09,13.18513353,1.068627782,7200
30.1707532,-90.9187092,0,1.8,1.25830674,1.430493808,7200
31.60416667,-92.7863889,0,4.28,3.172747036,1.348988732,7200
30.41746058,-81.69648758,0,1.58,0.000444691,3553.028957,7200
32.51681896,-93.9724054,0,10.38,4.482376195,2.315736018,7200
