name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_99,10,1,2,0.01,21600,2.7777777777777776e-07,10,8,3,dp,2,10,144,12775,13062,53630,0,43,0,510,0.0,86400,86400,1.0,86400.0,44290.660893405126,2,37,2.0,670,0.013888888888888888,14656.0,4860.0,1.0,86400.0,45267.02520040077,7,85,7.0,1640,0.04861111111111111,14960.0,3691.836734693877,1.0,86400.0,20702.528716489527,1053.0737524032593
oa_het_100,10,1,2,0.1,43200,2.7777777777777776e-07,5,1,3,dp,2,10,80,13258,12666,22072,15,56,15.0,1470,0.1875,25828.300000000003,7566.7852147852145,1.0,86400.0,31792.477142293723,18,56,18.0,1940,0.225,25819.600000000006,6403.508665247796,1.0,86400.0,33696.20125362429,19,63,19.0,2300,0.2375,25860.0,6253.627379485502,1.0,86400.0,22557.242994750788,506.5738742351532
oa_het_101,30,1,2,0.1,43200,2.777777777777778e-06,10,8,4,dp,2,10,1534,77564,67581,280947,375,1343,375.0,69370,0.24445893089960888,39089.40000000001,5063.069774768819,1.0,86400.0,11144.676683932943,763,1326,763.0,125780,0.4973924380704042,37781.0,4536.298170672606,1.0,86400.0,11515.071101976335,1132,1441,1132.0,248130,0.7379400260756193,41490.0,3925.7792315392117,1.0,86400.0,4417.1424106600225,6097.717704296112
oa_het_102,30,5,2,0.01,21600,2.7777777777777776e-07,1,1,4,dp,2,10,24,7439,8992,24482,0,19,0,520,0.0,86400,86400,1.0,86400.0,11008.484553065935,7,23,7.0,1280,0.2916666666666667,10121.0,3277.9591836734694,1.0,76752.0,7449.1991415765,13,23,13.0,1580,0.5416666666666666,11270.0,3450.2282333051558,1.0,16850.0,3839.5041734206065,456.1910185813904
oa_het_103,30,10,2,0.1,21600,2.7777777777777776e-07,5,8,3,dp,2,10,68,32678,28760,78292,6,47,6.0,1100,0.08823529411764706,14214.199999999997,3606.5217391304345,1.0,86400.0,14002.80432272174,18,47,18.0,2530,0.2647058823529412,15059.200000000012,3384.024045261669,1.0,86400.0,14253.099593286444,25,57,25.0,3150,0.36764705882352944,15000.0,3476.6860394228815,1.0,86400.0,7281.866749851001,1092.545354604721
oa_het_104,30,5,2,5,3600,2.777777777777778e-05,10,4,3,dp,2,10,15580,93405,90809,152199,43,4092,43.0,91400,0.0027599486521181003,2388.449999999997,336.3705583062628,1.0,86400.0,9695.137646956131,83,4339,83.0,112150,0.005327342747111681,2720.040000000001,311.1395032400308,1.0,86400.0,8954.443469621923,103,4873,103.0,148960,0.006611039794608473,2390.0,273.04475669358374,1.0,86400.0,6644.727417310334,7880.266873121262
oa_het_105,30,5,2,5,21600,2.7777777777777776e-07,5,4,2,dp,2,10,78,25370,24560,34915,38,62,38.0,1440,0.48717948717948717,20961.642,5952.200956937799,1.0,86400.0,15809.697354277241,35,65,35.0,1680,0.44871794871794873,20958.725999999995,5596.675324675324,1.0,86400.0,15858.692993639317,41,67,41.0,1820,0.5256410256410257,20960.0,5654.1838649155725,1.0,86400.0,13613.526403203778,660.7979023456573
oa_het_106,30,10,2,0.01,21600,2.777777777777778e-06,5,4,2,dp,2,10,820,5986,6035,35485,37,233,37.0,3070,0.045121951219512194,20058.0,6480.694980694981,1.0,86400.0,44792.154683065535,73,257,73.0,4960,0.08902439024390243,20805.0,5595.533910086691,1.0,86400.0,46597.85277068464,355,622,355.0,18510,0.4329268292682927,21130.0,5643.9313075297105,1.0,86400.0,13546.893510278329,348.1485297679901
oa_het_107,30,5,2,1,21600,2.777777777777778e-08,1,8,3,dp,2,10,3,13705,13082,15930,2,3,2.0,120,0.6666666666666666,13959.070000000002,4320.0,1.0,86400.0,7175.1187624716085,2,3,2.0,120,0.6666666666666666,13963.789999999997,4320.0,1.0,86400.0,7427.358525326621,2,3,2.0,120,0.6666666666666666,13940.0,4320.0,1.0,86400.0,7110.269001465512,229.76337456703186
oa_het_108,10,1,2,0.1,21600,2.777777777777778e-08,10,8,4,dp,2,10,7,50586,46845,103658,2,6,2.0,160,0.2857142857142857,10523.0,4320.0,1.0,86400.0,15619.55909755783,3,6,3.0,170,0.42857142857142855,10575.699999999997,4320.0,1.0,86400.0,16004.204803923807,4,6,4.0,180,0.5714285714285714,10570.0,4320.0,1.0,86400.0,11501.464544457818,2943.547914981842
oa_het_109,30,1,2,0.1,3600,2.777777777777778e-08,10,8,2,dp,2,10,11,19446,18210,68113,0,1,0,10,0.0,86400,86400,1.0,86400.0,32346.863321866756,0,1,0,10,0.0,86400,86400,1.0,86400.0,34191.50135093202,2,2,2.0,50,0.18181818181818182,3450.0,1050.0,1.0,86400.0,14245.421916440593,1296.8363020420074
oa_het_110,30,1,2,1,3600,2.7777777777777776e-07,10,4,3,dp,2,10,156,73358,67148,152199,0,40,0,600,0.0,86400,86400,1.0,86400.0,11797.109348823438,0,38,0,630,0.0,86400,86400,1.0,86400.0,11313.034582854738,0,48,0,1160,0.0,86400,86400,1.0,86400.0,6640.825371207253,4256.084522724152
oa_het_111,30,1,2,1,43200,2.777777777777778e-05,1,8,3,dp,2,10,1522,12759,12162,15136,1032,1405,1032.0,113500,0.6780551905387647,38403.41,6228.944591094923,1.0,86400.0,7063.316823481726,1002,1400,1002.0,113510,0.6583442838370565,38403.41,6261.544571179363,1.0,86400.0,7342.1106397666135,1041,1406,1041.0,134780,0.6839684625492772,38410.0,6098.487307541314,1.0,86400.0,6894.5039404073805,255.18187856674194
oa_het_112,60,1,2,0.01,21600,2.777777777777778e-06,1,1,4,dp,2,10,148,12117,13374,57067,20,140,20.0,6060,0.13513513513513514,10818.0,2301.8883116883117,1.0,86400.0,6569.828238965267,54,143,54.0,16000,0.36486486486486486,15881.0,1882.2466869513187,1.0,31932.0,4744.738135813993,77,143,77.0,28570,0.5202702702702703,14000.0,1526.128771266226,1.0,10530.0,1766.901688914691,683.4773533344269
