name,for,fov,constellation_size,agility,,event_duration,,event_frequency,,event_density,event_clustering,num_meas_types,planner,reobserve_reward,reward,reward_increment,time_horizon,events,capability index,difficulty index,,replan_obs_count,replan_het_obs_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,replan_het_event_obs_count,replan_het_events_seen,replan_het_event_reward,replan_het_planner_reward,replan_het_perc_cov,replan_het_max_rev,replan_het_avg_rev,replan_het_all_perc_cov,replan_het_all_max_rev,replan_het_all_avg_rev,init_poss_perc_cov,replan_poss_perc_cov,replan_het_poss_perc_cov,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_new_4,30,5,2,5,0.301029996,43200,12,2.78E-06,1.00E-02,10,16,4,dp,2,10,0.1,1000,1526,15,4.24,3.53,98042,98041,613,1351,613,87100,0.401703801,39614.42,5488.961925,1,86400,9664.858317,658,1362,658,127140,0.431192661,39619.466,5002.271573,1,86400,8904.507989,659,1362,659,112380,0.431847969,39619.466,5179.205341,1,86400,8889.198587,0.840877915,0.90260631,0.903978052,729,1367,729,153290,0.477719528,39620,5074.737947,1,86400,8041.697682,6825.715045
oa_het_new_1,30,20,2,1,1,21600,6,2.78E-05,1.00E-01,2,16,2,dp,2,10,0.1,1000,3138,3,2.33,1.29,33752,33435,2277,2772,2277,206510,0.725621415,21573.58,4798.081855,1,86400,7904.531218,2211,2742,2211,205440,0.70458891,21560.46,4767.248304,1,86400,8162.424727,2223,2753,2223,196990,0.708413002,21560.46,4804.018974,1,86400,8155.777459,0.973076923,0.944871795,0.95,2340,2747,2340,174500,0.745697897,21550,4875.253021,1,86400,8603.364012,571.0595984
oa_het_new_5,60,10,2,1,1,86400,24,2.78E-06,1.00E-02,2,4,2,dp,2,10,0.1,1000,310,6,0.42,14.45,34041,34274,283,295,283,46320,0.912903226,85840.59,9565.430456,1,86400,4274.844714,277,294,277,59680,0.893548387,85087.88,8876.013204,1,86400,4683.216337,278,296,278,48460,0.896774194,85087.88,9451.636464,1,86400,4618.559094,0.965870307,0.945392491,0.948805461,293,297,293,79660,0.94516129,85910,8064.142146,1,86400,3285.604285,563.8662806
oa_het_new_18,10,20,2,0.1,2,21600,6,2.78E-05,1.00E-01,10,4,2,dp,2,10,0.1,1000,15562,0.1,2.79,0.04,65908,64145,4418,9472,4418,362220,0.283896671,21557.8,4866.820259,1,86400,21579.03849,4444,9293,4444,347120,0.285567408,21552.6,4903.985779,1,86400,21824.14246,4448,9373,4448,333610,0.285824444,21552.6,4948.862651,1,86400,21716.81533,0.945836009,0.951402269,0.952258617,4671,9623,4671,257240,0.300154222,21580,5516.545321,1,86400,21079.39539,4232.015508
oa_het_new_2,10,5,2,0.1,2,86400,24,2.78E-05,1.00E-01,1,8,4,dp,2,10,0.1,1000,1511,0.1,2.12,0.05,4847,4825,264,1207,264,68260,0.174718729,73673.3,9566.384313,1,86400,20835.21023,263,1202,263,69230,0.174056916,73680,9354.670567,1,86400,21059.14445,266,1202,266,68240,0.176042356,73680,9435.700768,1,86400,21051.30146,0.974169742,0.970479705,0.981549815,271,1207,271,79900,0.179351423,73680,8943.890314,1,86400,20545.57901,56.36040187
oa_het_new_8,10,1,2,5,0.301029996,86400,24,2.78E-07,1.00E-03,5,16,2,dp,2,10,0.1,1000,81,5,0.32,15.72,21796,21796,38,61,38,2050,0.469135802,86158.408,20103.52484,1,86400,22201.66397,38,61,38,2140,0.469135802,86159.922,20117.18895,1,86400,22115.29009,38,61,38,2070,0.469135802,86159.922,20226.62811,1,86400,22115.36106,0.974358974,0.974358974,0.974358974,39,61,39,2170,0.481481481,86160,19917.84711,1,86400,21512.3301,719.7713511
oa_het_new_16,60,10,2,5,0.301029996,43200,12,2.78E-05,1.00E-01,1,8,2,dp,2,10,0.1,1000,1501,30,1.06,28.33,25915,25867,1386,1393,1386,231520,0.92338441,42766.48,4285.930645,1,86400,3607.108507,1365,1394,1365,224730,0.909393738,43020,4543.133658,1,86400,3957.740724,1366,1395,1366,216290,0.91005996,43020,4588.113478,1,86400,3952.347872,0.999279019,0.984138428,0.984859409,1387,1393,1387,286940,0.924050633,42780,4120.914477,1,86400,3736.524354,299.4747345
oa_het_new_14,30,1,2,0.1,2,43200,12,2.78E-08,1.00E-04,2,8,2,dp,2,10,0.1,1000,2,0.3,0.1,2.99,13204,13204,0,2,0,30,0,86400,86400,1,86400,11070.5122,1,1,1,30,0.5,15850,10800,1,86400,10583.50528,1,1,1,30,0.5,15850,10800,1,86400,10583.50528,0,1,1,1,2,1,40,0.5,15850,10800,1,86400,7067.341161,211.310467
oa_het_new_19,5,1,2,0.01,3,3600,1,2.78E-05,1.00E-01,2,16,4,dp,2,10,0.1,1000,3149,0.01,55.97,0,2646,2646,7,197,7,2830,0.002222928,1097,393.4693878,1,86400,52988.69835,7,204,7,3240,0.002222928,984,362.2820037,1,86400,52072.17696,7,205,7,3140,0.002222928,984,373.679178,1,86400,52020.62871,1,1,1,4,228,4,3600,0.001270245,630,248.5714286,1,86400,49683.20855,62.59184623
oa_het_new_6,5,1,2,0.1,2,21600,6,2.78E-06,1.00E-02,1,1,3,dp,2,10,0.1,1000,164,0.05,2.95,0.02,1296,1296,1,52,1,640,0.006097561,13708.8,5400,1,86400,50955.85975,1,52,1,630,0.006097561,13741.1,5400,1,86400,51110.85975,1,52,1,630,0.006097561,13741.1,5400,1,86400,51110.85975,1,1,1,1,52,1,640,0.006097561,13700,5400,1,86400,50604.52886,19.10171056
oa_het_new_25,5,5,2,1,1,3600,1,2.78E-07,1.00E-03,10,8,2,dp,2,10,0.1,1000,150,0.5,8.7,0.06,18329,18341,1,11,1,190,0.006666667,789.7,400,1,86400,49160.58968,1,11,1,210,0.006666667,479.07,327.2727273,1,86400,49261.82998,1,11,1,190,0.006666667,865.14,400,1,86400,49261.83118,1,1,1,1,11,1,220,0.006666667,480,300,1,86400,49208.37566,1033.343941
oa_het_new_24,10,10,2,5,0.301029996,21600,6,2.78E-07,1.00E-03,2,1,4,dp,2,10,0.1,1000,31,5,3.98,1.26,9079,9079,1,17,1,380,0.032258065,12799.178,2160,1,86400,21282.08305,1,17,1,370,0.032258065,12798.624,2160,1,86400,21356.92055,1,17,1,370,0.032258065,12798.624,2160,1,86400,21356.92055,1,1,1,1,17,1,370,0.032258065,12800,2160,1,86400,21241.33987,118.7070398
oa_het_new_12,5,5,2,5,0.301029996,21600,6,2.78E-08,1.00E-04,5,4,2,dp,2,10,0.1,1000,10,2.5,0.67,3.75,7941,7941,1,4,1,60,0.1,14040.248,5400,1,86400,48465.09115,1,4,1,60,0.1,14039.772,5400,1,86400,48595.68513,1,4,1,60,0.1,14039.772,5400,1,86400,48595.68513,1,1,1,1,4,1,60,0.1,14040,5400,1,86400,48357.74064,249.8864319
oa_het_new_20,30,20,2,5,0.301029996,3600,1,2.78E-06,1.00E-02,1,1,2,dp,2,10,0.1,1000,144,15,8.63,1.74,13392,13391,25,41,25,1050,0.173611111,3566.358,966.5714286,1,43104.256,6715.229017,25,41,25,1070,0.173611111,3565.46,961.8337662,1,43110,6952.350768,25,41,25,1040,0.173611111,3565.46,968.5714286,1,43110,6952.275206,1,1,1,25,41,25,1030,0.173611111,3560,966.1714286,1,43110,6665.238532,97.2618134
oa_het_new_22,5,10,2,0.1,2,86400,24,2.78E-06,1.00E-02,10,16,2,dp,2,10,0.1,1000,1538,0.05,0.53,0.09,26618,26548,301,663,301,31480,0.195708713,85918.8,21737.48989,1,86400,48832.16798,310,666,310,31490,0.201560468,85878.6,21570.35707,1,86400,48783.18221,310,664,310,30410,0.201560468,85878.6,21800.26729,1,86400,48765.67748,1,1,1,289,654,289,17490,0.187906372,85920,22838.1173,1,86400,49259.5891,1105.452956
oa_het_new_15,60,20,2,0.01,3,86400,24,2.78E-08,1.00E-04,10,1,4,dp,2,10,0.1,1000,16,0.06,0.8,0.07,80207,80369,5,16,5,950,0.3125,63776,8700.342857,1,86400,14985.38526,12,16,12,2390,0.75,63082,6319.572671,1,86400,11239.60526,12,16,12,2020,0.75,62851,7372.880061,1,86400,11236.05458,0.416666667,1,1,12,16,12,3850,0.75,69370,4886.880078,1,14060,3094.661155,4828.321724
oa_het_new_31,60,5,2,0.01,3,21600,6,2.78E-08,1.00E-04,1,16,2,dp,2,10,0.1,1000,2,0.06,0.2,0.3,7316,7316,1,1,1,40,0.5,13374,4320,1,86400,11684.62257,1,1,1,50,0.5,8151,3600,1,86400,9669.07524,1,1,1,50,0.5,8151,3600,1,86400,9669.07524,1,1,1,1,1,1,60,0.5,13110,3085.714286,1,86400,4403.027192,87.29193258
oa_het_new_27,30,1,2,0.01,3,86400,24,2.78E-07,1.00E-03,1,4,2,dp,2,10,0.1,1000,15,0.03,0.2,0.15,5336,5341,8,14,8,440,0.533333333,85920,19881.81818,1,86400,17669.80796,13,14,13,1020,0.866666667,76310,12549.43174,1,65724,11721.45098,13,14,13,810,0.866666667,76310,15371.17001,1,54270,11697.05697,0.615384615,1,1,13,14,13,1300,0.866666667,76880,11032.08791,1,29060,6635.753805,51.75340247
oa_het_new_9,5,20,2,1,1,43200,12,2.78E-07,1.00E-03,1,4,4,dp,2,10,0.1,1000,16,0.5,1.61,0.31,1783,1783,0,6,0,140,0,86400,86400,1,86400,49553.74607,0,6,0,140,0,86400,86400,1,86400,49797.99647,0,6,0,140,0,86400,86400,1,86400,49797.99647,#DIV/0!,#DIV/0!,#DIV/0!,0,7,0,150,0,86400,86400,1,86400,49150.94879,20.90867949
oa_het_new_13,10,10,2,1,1,3600,1,2.78E-08,1.00E-04,1,16,3,dp,2,10,0.1,1000,2,1,2.41,0.42,6697,6697,0,1,0,40,0,86400,86400,1,86400,21086.09945,0,1,0,40,0,86400,86400,1,86400,21334.88627,0,1,0,40,0,86400,86400,1,86400,21334.88627,#DIV/0!,#DIV/0!,#DIV/0!,0,1,0,40,0,86400,86400,1,86400,21012.66068,46.64479876
oa_het_new_28,5,20,2,5,0.301029996,86400,24,2.78E-08,1.00E-04,2,8,3,dp,2,10,0.1,1000,4,2.5,0.2,12.46,4738,4738,0,2,0,30,0,86400,86400,1,86400,47534.89283,0,2,0,30,0,86400,86400,1,86400,47683.3494,0,2,0,30,0,86400,86400,1,86400,47683.3494,#DIV/0!,#DIV/0!,#DIV/0!,0,1,0,20,0,86400,86400,1,86400,48370.64286,54.50014925
oa_het_new_30,30,10,2,0.1,2,3600,1,2.78E-08,1.00E-04,5,4,4,dp,2,10,0.1,1000,7,0.3,13.52,0.02,28571,28571,0,0,0,0,0,86400,86400,1,86400,13324.22813,0,0,0,0,0,86400,86400,1,86400,12858.52979,0,0,0,0,0,86400,86400,1,86400,12858.52979,#DIV/0!,#DIV/0!,#DIV/0!,0,1,0,10,0,86400,86400,1,86400,6746.546063,1022.065957
