name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_0,60,5,2,0.1,21600,2.777777777777778e-06,1,8,3,dp,2,10,148,14929,13159,35750,48,130,48.0,6160,0.32432432432432434,16425.300000000003,3001.515313247124,1.0,86400.0,6242.076084587882,59,129,59.0,10260,0.39864864864864863,16011.299999999988,2308.576413714598,1.0,86400.0,6107.4953529166905,72,137,72.0,13660,0.4864864864864865,16470.0,2249.2940799855223,1.0,86400.0,3343.0747084668983,93.46545505523682
oa_het_1,30,10,2,5,21600,2.777777777777778e-06,10,1,3,dp,2,10,1560,103094,102502,139653,384,1303,384.0,53180,0.24615384615384617,14989.899999999996,3155.143959634057,1.0,86400.0,10262.243053669634,471,1322,471.0,70050,0.3019230769230769,14999.351999999999,2985.180953859229,1.0,86400.0,9790.554908787934,569,1411,569.0,72040,0.3647435897435897,15000.0,3233.507782165042,1.0,43110.0,6612.086926466016,4043.6897773742676
oa_het_2,60,1,2,1,3600,2.777777777777778e-06,10,1,4,dp,2,10,1588,170965,148703,572225,11,610,11.0,18130,0.0069269521410579345,1532.1500000000015,303.61045604012355,1.0,86400.0,8653.444316764704,32,654,32.0,28040,0.020151133501259445,3206.790000000001,306.4162542594893,1.0,86400.0,4495.660540529728,73,868,73.0,59360,0.045969773299748114,710.0,189.94843770732754,1.0,10540.0,1762.3635558475598,11511.364681243896
oa_het_3,10,10,2,5,3600,2.7777777777777776e-07,5,8,4,dp,2,10,71,58322,57998,53094,1,17,1.0,690,0.014084507042253521,290.81600000000617,116.12903225806451,1.0,86400.0,11550.024591566806,1,17,1.0,690,0.014084507042253521,291.2980000000098,116.12903225806451,1.0,86400.0,11655.429453419063,1,16,1.0,570,0.014084507042253521,290.0,180.0,1.0,86400.0,11669.968093659105,1448.0682678222656
oa_het_4,10,10,2,0.01,43200,2.777777777777778e-06,1,1,3,dp,2,10,159,2669,2835,4333,11,107,11.0,2320,0.06918238993710692,26643.0,7591.452184179457,1.0,86400.0,30138.48409106073,19,107,19.0,2960,0.11949685534591195,25686.0,6808.225458751775,1.0,86400.0,29437.490373254663,25,117,25.0,3620,0.15723270440251572,28900.0,6436.008791208791,1.0,86400.0,22575.904560512547,153.47119545936584
oa_het_5,30,1,2,1,21600,2.777777777777778e-05,5,4,4,dp,2,10,7745,80111,74464,137424,1951,7138,1951.0,410260,0.2519044544867656,14894.119999999995,2946.9251024596056,1.0,86400.0,5511.39248272897,2129,7109,2129.0,469520,0.2748870238863783,14870.0,2828.78769659484,1.0,86400.0,5419.292028203244,3023,7290,3023.0,703530,0.39031633311814073,19850.0,2810.83772755194,1.0,86400.0,3882.858875662652,3883.1477406024933
oa_het_6,60,5,2,5,3600,2.777777777777778e-08,10,8,2,dp,2,10,10,62072,54961,154469,1,2,1.0,30,0.1,2040.4380000000092,1200.0,1.0,86400.0,12230.632693038826,1,2,1.0,40,0.1,3284.173999999999,1200.0,1.0,86400.0,12211.978102349798,2,2,2.0,50,0.2,3270.0,1050.0,1.0,86400.0,7256.4687685976105,3900.696772813797
oa_het_7,30,1,2,5,3600,2.7777777777777776e-07,1,4,4,dp,2,10,15,24580,23594,25986,0,4,0,130,0.0,86400,86400,1.0,21845.465999999993,3880.358311994997,0,4,0,120,0.0,86400,86400,1.0,21844.703999999998,4048.32905200991,0,4,0,130,0.0,86400,86400,1.0,21850.0,3844.4307312034543,509.93511939048767
oa_het_8,60,1,2,1,43200,2.7777777777777776e-07,1,8,4,dp,2,10,12,41758,37283,64794,10,12,10.0,4230,0.8333333333333334,28966.270000000004,2134.808498963957,1.0,86400.0,2584.91529035621,10,12,10.0,4780,0.8333333333333334,29464.790000000008,2157.9114943749737,1.0,86400.0,2751.871052163383,10,12,10.0,5310,0.8333333333333334,29040.0,1893.7770507774108,1.0,86400.0,2283.8145209835543,801.0296642780304
oa_het_9,60,1,2,0.01,21600,2.777777777777778e-05,10,4,2,dp,2,10,15456,11396,10161,153190,713,4971,713.0,63470,0.046130952380952384,21540.0,6527.401322380284,1.0,86400.0,43630.049605454056,1017,4244,1017.0,63780,0.06579968944099379,21492.0,6230.806420717925,1.0,86400.0,52124.85841087434,13543,13902,13543.0,793560,0.8762292960662525,21600.0,5187.538992392366,1.0,86400.0,6615.647294484159,3859.394604444504
