lat [deg],lon [deg],start time [s],duration [s],severity,meas_types_needed
0.24074,-50.66237,82723.40425531915,1838.297872340423,1,|[0, 1, 2]|
0.18538,-50.71211,82723.40425531915,1838.297872340423,1,|[0, 1, 2]|
0.26856,-50.61249,80885.10638297873,1838.297872340423,1,|[0, 1, 2]|
3.99989,117.57872,22059.574468085106,1838.2978723404267,1,|[0, 1, 2]|
6.27656,-7.1451,62502.12765957447,5514.893617021269,1,|[0, 1, 2]|
6.33522,-7.08823,62502.12765957447,5514.893617021269,1,|[0, 1, 2]|
6.28453,-7.09845,62502.12765957447,5514.893617021269,1,|[0, 1, 2]|
15.82941,94.83067,53310.63829787234,1838.297872340423,1,|[0, 1, 2]|
22.34485,76.78804,73531.91489361702,1838.297872340423,1,|[0, 1, 2]|
22.05533,76.64821,12868.08510638298,1838.2978723404249,1,|[0, 1, 2]|
22.05533,76.64821,49634.04255319149,1838.2978723404303,1,|[0, 1, 2]|
22.32781,76.78506,73531.91489361702,1838.297872340423,1,|[0, 1, 2]|
22.25442,76.65402,58825.53191489362,1838.297872340423,1,|[0, 1, 2]|
22.25442,76.65402,73531.91489361702,1838.297872340423,1,|[0, 1, 2]|
22.22459,76.62937,12868.08510638298,1838.2978723404249,1,|[0, 1, 2]|
22.22459,76.62937,56987.234042553195,1838.297872340423,1,|[0, 1, 2]|
22.22459,76.62937,71693.6170212766,1838.297872340423,1,|[0, 1, 2]|
22.93279,79.9414,16544.68085106383,1838.2978723404267,1,|[0, 1, 2]|
22.93279,79.9414,47795.744680851065,1838.297872340423,1,|[0, 1, 2]|
22.93279,79.9414,73531.91489361702,1838.297872340423,1,|[0, 1, 2]|
22.93279,79.9414,77208.51063829787,7353.191489361707,1,|[0, 1, 2]|
21.93064,89.52654,75370.21276595745,1838.297872340423,1,|[0, 1, 2]|
21.87996,89.511,75370.21276595745,1838.297872340423,1,|[0, 1, 2]|
21.98233,90.33364,55148.936170212764,1838.2978723404303,1,|[0, 1, 2]|
22.67114,92.1941,64340.425531914894,3676.595744680846,1,|[0, 1, 2]|
22.67114,92.1941,73531.91489361702,11029.787234042553,1,|[0, 1, 2]|
23.22466,90.62912,82723.40425531915,1838.297872340423,1,|[0, 1, 2]|
22.99944,92.21998,73531.91489361702,9191.48936170213,1,|[0, 1, 2]|
22.90075,90.61214,82723.40425531915,1838.297872340423,1,|[0, 1, 2]|
23.06598,90.57762,82723.40425531915,1838.297872340423,1,|[0, 1, 2]|
21.97227,90.74705,79046.8085106383,1838.2978723404376,1,|[0, 1, 2]|
24.13695,82.894,29412.76595744681,11029.787234042557,1,|[0, 1, 2]|
24.13695,82.894,51472.34042553192,3676.595744680846,1,|[0, 1, 2]|
24.13695,82.894,58825.53191489362,3676.5957446808534,1,|[0, 1, 2]|
24.15814,82.9104,31251.063829787236,11029.787234042553,1,|[0, 1, 2]|
24.15814,82.9104,53310.63829787234,1838.297872340423,1,|[0, 1, 2]|
24.15814,82.9104,60663.82978723404,3676.5957446808534,1,|[0, 1, 2]|
25.33535,89.66891,12868.08510638298,1838.2978723404249,1,|[0, 1, 2]|
25.33535,89.66891,56987.234042553195,3676.595744680846,1,|[0, 1, 2]|
25.7087,89.75518,49634.04255319149,7353.191489361707,1,|[0, 1, 2]|
25.7087,89.75518,62502.12765957447,22059.574468085106,1,|[0, 1, 2]|
25.56771,89.73791,62502.12765957447,22059.574468085106,1,|[0, 1, 2]|
25.50597,89.72428,66178.72340425532,18382.97872340426,1,|[0, 1, 2]|
25.96904,89.99994,47795.744680851065,9191.48936170213,1,|[0, 1, 2]|
25.96904,89.99994,62502.12765957447,22059.574468085106,1,|[0, 1, 2]|
25.86104,89.85684,62502.12765957447,22059.574468085106,1,|[0, 1, 2]|
25.89961,89.89084,62502.12765957447,22059.574468085106,1,|[0, 1, 2]|
25.99874,90.03191,47795.744680851065,9191.48936170213,1,|[0, 1, 2]|
25.99874,90.03191,62502.12765957447,22059.574468085106,1,|[0, 1, 2]|
25.97742,90.00005,47795.744680851065,9191.48936170213,1,|[0, 1, 2]|
25.97742,90.00005,62502.12765957447,22059.574468085106,1,|[0, 1, 2]|
25.97305,90.00695,47795.744680851065,9191.48936170213,1,|[0, 1, 2]|
25.97305,90.00695,62502.12765957447,22059.574468085106,1,|[0, 1, 2]|
26.22411,90.47265,62502.12765957447,22059.574468085106,1,|[0, 1, 2]|
26.14551,90.31057,62502.12765957447,22059.574468085106,1,|[0, 1, 2]|
26.08625,90.11588,47795.744680851065,7353.1914893616995,1,|[0, 1, 2]|
26.08625,90.11588,62502.12765957447,22059.574468085106,1,|[0, 1, 2]|
26.13193,90.29394,62502.12765957447,22059.574468085106,1,|[0, 1, 2]|
31.42662,-93.7147,60663.82978723404,1838.2978723404303,1,|[0, 1, 2]|
31.24346,-94.34589,18382.978723404256,1838.2978723404267,1,|[0, 1, 2]|
29.35184,-94.82768,56987.234042553195,1838.297872340423,1,|[0, 1, 2]|
29.35184,-94.82768,79046.8085106383,1838.2978723404376,1,|[0, 1, 2]|
29.9558,-93.78198,77208.51063829787,5514.893617021284,1,|[0, 1, 2]|
31.29811,-93.65289,58825.53191489362,1838.297872340423,1,|[0, 1, 2]|
29.94703,-93.80088,56987.234042553195,1838.297872340423,1,|[0, 1, 2]|
29.94703,-93.80088,80885.10638297873,1838.297872340423,1,|[0, 1, 2]|
29.40868,-94.82823,56987.234042553195,1838.297872340423,1,|[0, 1, 2]|
29.40868,-94.82823,79046.8085106383,1838.2978723404376,1,|[0, 1, 2]|
29.57473,-94.87782,9191.489361702128,3676.5957446808516,1,|[0, 1, 2]|
29.57473,-94.87782,56987.234042553195,1838.297872340423,1,|[0, 1, 2]|
47.85657,-114.11995,18382.978723404256,3676.5957446808497,1,|[0, 1, 2]|
47.99986,-114.12886,20221.276595744683,1838.297872340423,1,|[0, 1, 2]|
47.01209,-70.70891,11029.787234042553,1838.2978723404267,1,|[0, 1, 2]|
48.28431,-116.5245,3676.595744680851,1838.2978723404253,1,|[0, 1, 2]|
48.02601,-114.14854,20221.276595744683,1838.297872340423,1,|[0, 1, 2]|
51.19558,-68.98268,34927.65957446809,1838.297872340423,1,|[0, 1, 2]|
51.56433,-69.04833,38604.255319148935,1838.2978723404303,1,|[0, 1, 2]|
54.07674,-58.3032,36765.95744680851,3676.5957446808534,1,|[0, 1, 2]|
53.54503,-59.99985,27574.468085106382,1838.2978723404267,1,|[0, 1, 2]|
53.64937,-59.87021,27574.468085106382,1838.2978723404267,1,|[0, 1, 2]|
53.62288,-59.94487,27574.468085106382,1838.2978723404267,1,|[0, 1, 2]|
53.60858,103.38589,55148.936170212764,1838.2978723404303,1,|[0, 1, 2]|
53.73833,103.29995,55148.936170212764,1838.2978723404303,1,|[0, 1, 2]|
58.29154,31.32527,31251.063829787236,1838.297872340423,1,|[0, 1, 2]|
58.42488,31.29993,31251.063829787236,1838.297872340423,1,|[0, 1, 2]|
60.03038,10.20827,7353.191489361702,3676.5957446808507,1,|[0, 1, 2]|
60.03038,10.20827,38604.255319148935,12868.085106382983,1,|[0, 1, 2]|
60.03038,10.20827,66178.72340425532,1838.297872340423,1,|[0, 1, 2]|
-2.17195,-54.83344,16544.68085106383,3676.5957446808534,1,|[0, 1, 2]|
-2.03507,-55.36127,0.0,1838.2978723404256,1,|[0, 1, 2]|
-2.03507,-55.36127,5514.893617021276,1838.2978723404258,1,|[0, 1, 2]|
-2.03507,-55.36127,9191.489361702128,1838.2978723404249,1,|[0, 1, 2]|
-2.40447,-54.27773,5514.893617021276,1838.2978723404258,1,|[0, 1, 2]|
-2.40447,-54.27773,14706.382978723404,3676.5957446808516,1,|[0, 1, 2]|
-1.90155,-55.62054,0.0,11029.787234042553,1,|[0, 1, 2]|
-1.90155,-55.62054,16544.68085106383,1838.2978723404267,1,|[0, 1, 2]|
-1.9998,-56.04175,0.0,1838.2978723404256,1,|[0, 1, 2]|
-1.9998,-56.04175,12868.08510638298,12868.08510638298,1,|[0, 1, 2]|
-2.33917,-54.09325,12868.08510638298,1838.2978723404249,1,|[0, 1, 2]|
-2.33917,-54.09325,18382.978723404256,3676.5957446808497,1,|[0, 1, 2]|
-2.0627,-54.00008,16544.68085106383,5514.893617021276,1,|[0, 1, 2]|
-2.21517,-54.89673,16544.68085106383,3676.5957446808534,1,|[0, 1, 2]|
-2.16292,-54.9661,18382.978723404256,1838.2978723404267,1,|[0, 1, 2]|
-2.85898,-58.23504,80885.10638297873,1838.297872340423,1,|[0, 1, 2]|
-2.87013,-58.21981,80885.10638297873,1838.297872340423,1,|[0, 1, 2]|
-2.82988,-55.11466,14706.382978723404,12868.085106382978,1,|[0, 1, 2]|
-2.82988,-55.11466,29412.76595744681,1838.2978723404267,1,|[0, 1, 2]|
-1.79215,-50.68136,14706.382978723404,1838.2978723404249,1,|[0, 1, 2]|
-1.79215,-50.68136,75370.21276595745,7353.191489361707,1,|[0, 1, 2]|
-0.48515,-51.35175,80885.10638297873,3676.595744680846,1,|[0, 1, 2]|
-0.339,-50.93386,75370.21276595745,1838.297872340423,1,|[0, 1, 2]|
