name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_11,30,10,2,0.1,3600,2.777777777777778e-05,1,8,3,dp,2,10,1561,11045,10093,16983,20,402,20.0,10700,0.012812299807815503,1020.9000000000015,230.9254396162459,1.0,86400.0,9063.207768159444,22,394,22.0,12020,0.014093529788597053,2293.9000000000015,265.78268292279114,1.0,86400.0,9166.599886526135,19,438,19.0,15330,0.012171684817424727,2690.0,234.39183242386906,1.0,86400.0,7206.946373463449,237.47762036323547
oa_het_12,10,5,2,0.01,21600,2.7777777777777776e-07,10,4,2,dp,2,10,154,5780,5808,21655,1,22,1.0,240,0.006493506493506494,14709.0,7200.0,1.0,86400.0,59714.25019686741,5,27,5.0,380,0.032467532467532464,20695.0,6300.0,1.0,86400.0,60496.30481692508,22,54,22.0,900,0.14285714285714285,20440.0,6398.181818181818,1.0,86400.0,34231.110372332536,408.93124628067017
oa_het_13,30,5,2,0.1,43200,2.777777777777778e-05,5,1,2,dp,2,10,7719,10941,10029,30746,2018,4820,2018.0,98490,0.2614328280865397,43047.3,11379.051810429411,1.0,86400.0,29378.43581377842,2082,4352,2082.0,100800,0.2697240575204042,43012.7,10996.672717812253,1.0,86400.0,34834.410639802314,4809,6547,4809.0,273310,0.623008161678974,43110.0,10144.144836247242,1.0,64290.0,13627.509550728093,586.5146062374115
oa_het_14,60,5,2,0.01,21600,2.777777777777778e-06,10,8,3,dp,2,10,1530,28463,24003,341492,48,852,48.0,14600,0.03137254901960784,15312.0,3929.512987012987,1.0,86400.0,25280.748473214087,173,839,173.0,28170,0.1130718954248366,20783.0,3344.738134441216,1.0,86400.0,30702.322675172,829,1434,829.0,164950,0.5418300653594771,18900.0,2131.0863936404894,1.0,86400.0,3735.1142000101217,5545.257096290588
oa_het_15,10,10,2,1,3600,2.777777777777778e-06,10,8,3,dp,2,10,1546,68155,66746,53618,8,270,8.0,6670,0.00517464424320828,799.1100000000006,240.5927908298598,1.0,86400.0,20797.228059529112,9,269,9.0,6870,0.005821474773609315,944.6800000000003,217.08813039759332,1.0,86400.0,21094.78018765361,2,267,2.0,5120,0.00129366106080207,490.0,276.9230769230769,1.0,86400.0,21010.76934911845,2428.1480622291565
oa_het_16,30,1,2,0.01,21600,2.777777777777778e-08,5,8,3,dp,2,10,4,12138,12899,83528,0,2,0,50,0.0,86400,86400,1.0,86400.0,28580.796643024427,1,4,1.0,180,0.25,9323.0,1800.0,1.0,86400.0,27373.38594464382,1,4,1.0,220,0.25,12100.0,1661.5384615384614,1.0,86400.0,7068.09761914477,813.4429092407227
oa_het_17,60,5,2,0.1,43200,2.777777777777778e-08,1,4,2,dp,2,10,1,6491,5875,14974,1,1,1.0,40,1.0,36336.20000000001,8640.0,1.0,86400.0,11965.569207740764,1,1,1.0,60,1.0,36360.7,6171.428571428572,1.0,86400.0,11363.941675796465,1,1,1.0,80,1.0,36420.0,4800.0,1.0,86400.0,6695.2849187872025,131.2396948337555
oa_het_18,30,10,2,5,21600,2.777777777777778e-06,1,8,4,dp,2,10,154,27199,26268,30183,68,147,68.0,19410,0.44155844155844154,10576.716,2837.0027494874103,1.0,86400.0,4023.531906415411,59,147,59.0,19260,0.38311688311688313,10570.172000000006,2707.0461270752235,1.0,86400.0,4169.813733890222,69,147,69.0,20070,0.44805194805194803,10570.0,2793.6537861094425,1.0,86400.0,3984.2372042030784,507.8254494667053
oa_het_19,60,10,2,5,43200,2.777777777777778e-05,1,4,2,dp,2,10,1565,12295,11057,15718,1373,1392,1373.0,112600,0.8773162939297124,43078.182,7457.227020283327,1.0,22403.208000000002,6804.442320338315,1318,1393,1318.0,108400,0.8421725239616613,43076.864,7700.409983903054,1.0,65708.79000000001,7500.109589378867,1384,1399,1384.0,143530,0.8843450479233227,43080.0,7262.930421979528,1.0,22390.0,6598.728194995602,180.36788153648376
oa_het_20,60,5,2,1,43200,2.777777777777778e-05,10,4,4,dp,2,10,15726,213587,188744,616540,9323,14565,9323.0,1923110,0.5928398829963119,42206.44,3076.7115976372697,1.0,86400.0,5114.794782377022,10323,14640,10323.0,2077330,0.6564288439526899,42116.65000000001,3156.0555825043625,1.0,86400.0,4634.299080738988,12186,15060,12186.0,5585270,0.7748950782144219,42580.0,1940.2783698662167,1.0,86400.0,1948.5285504125236,25506.136503458023
