smallsat00,1.005738826,-1.854597684,903.5503493,906.0912618,0.297358606,0.351320697,0,10,131,131,1,,,,,,
smallsat00,1.006765777,-1.854444619,904.4759864,907.0169259,0.295575675,0.352212162,0,10,132,132,1,,,,,,
smallsat00,1.007164044,-1.855321333,904.8524742,907.3936501,0.300527726,0.02693318,0,10,133,133,1,,,,,,
smallsat00,1.019890008,-1.779544599,916.1276239,918.669333,0.196537706,0.002756411,0,9,136,136,1,,,,,,
smallsat00,1.020879592,-1.835718807,916.974992,919.511465,0.168465672,0.006522832,0,9,137,137,1,,,,,,
smallsat00,1.035723408,-1.875785458,931.1190504,933.6692684,0.392708159,0.30364592,0,12,151,151,1,,,,,,
smallsat00,1.035798457,-1.884467947,931.4230611,933.9780631,0.438843622,0.280578189,0,12,152,152,1,,,,,,
smallsat00,1.036150664,-1.881300349,931.6515071,934.2047414,0.421849973,0.289075014,0,12,153,153,1,,,,,,
smallsat00,1.042523402,-1.733493738,937.6354211,940.2043612,0.457058875,0.002036391,0,12,156,156,1,,,,,,
smallsat00,1.057242462,-1.782776495,949.9558875,952.4993414,0.180153777,0.036349522,0,9,164,164,1,,,,,,
smallsat00,1.070593742,-1.822406081,961.9057514,964.4441492,0.055578464,0.0088401,0,8,172,172,1,,,,,,
smallsat00,1.073492717,-1.7955862,964.5762452,967.1176069,0.106257584,0.007168708,0,8,173,173,1,,,,,,
smallsat00,1.076691085,-1.801161602,967.444861,969.985337,0.073940479,0.004687096,0,8,175,175,1,,,,,,
smallsat00,1.080465394,-1.834088477,970.9144988,973.4539017,0.119143103,0.003529594,0,8,178,178,1,,,,,,
smallsat01,0.809578252,1.302051977,972.0456495,974.6337674,0.217565346,0.506503595,1,9,179,179,1,,,,,,
smallsat00,1.083705982,-1.795852904,973.8360812,976.378074,0.106983145,0.003807824,0,8,181,181,1,,,,,,
smallsat00,1.08728841,-1.796216508,977.0824024,979.624638,0.104884227,0.007481079,0,8,184,184,1,,,,,,
smallsat00,1.089970405,-1.804867756,979.4704962,982.0114517,0.05577466,0.005150434,0,8,190,190,1,,,,,,
smallsat00,1.090883945,-1.80028241,980.3190183,982.860668,0.082593076,0.00956519,0,8,191,191,1,,,,,,
smallsat00,1.10453249,-1.88017339,993.4134659,995.9643898,0.349453058,0.325273471,0,11,201,201,1,,,,,,
smallsat00,1.107271121,-1.745907445,996.0128335,998.5752223,0.372448315,0.002955768,0,11,203,203,1,,,,,,
smallsat00,1.109507795,-1.757535509,997.7743197,1000.330891,0.314120711,0.081921651,0,11,205,205,1,,,,,,
smallsat00,1.11700374,-1.875933287,1004.595936,1007.145399,0.316609461,0.341695269,0,11,214,214,1,,,,,,
smallsat00,1.117010721,-1.875944632,1004.60249,1007.151956,0.3166575,0.34167125,0,11,215,215,1,,,,,,
smallsat00,1.117010721,-1.743223338,1004.915785,1007.479872,0.381633585,0.309183207,0,11,217,217,1,,,,,,
smallsat00,1.11759593,-1.742379122,1005.468636,1008.033178,0.385521916,0.307239042,0,11,219,219,1,,,,,,
smallsat00,1.118308077,-1.883845353,1005.953408,1008.505492,0.353885833,0.017249956,0,11,222,222,1,,,,,,
smallsat01,0.764606754,1.36135542,1012.606467,1015.194195,0.32006961,0.339965195,1,11,228,228,1,,,,,,
smallsat00,1.127090626,-1.750674323,1013.876604,1016.437024,0.34246529,0.003261591,0,11,230,230,1,,,,,,
smallsat00,1.127660022,-1.753620264,1014.326473,1016.885529,0.328311852,0.335844074,0,11,231,231,1,,,,,,
smallsat00,1.12841575,-1.742681762,1015.274774,1017.839305,0.379497007,0.310251496,0,11,234,234,1,,,,,,
