lat [deg],lon [deg],,
33.51792,79.78679,,
33.42982,89.89634,,
33.72816,90.30832,,
35.80454,90.35834,,
33.46515,90.3657,,
34.9587,116.87919,,
35.14897,116.64852,,
35.26923,116.61056,,
34.15343,118.14516,,
35.10599,116.65957,,
32.0198,120.69657,,
35.34724,136.22432,,
37.05446,-111.2963,,
38.38703,-77.10944,,
37.16843,-76.63889,,
36.95511,-76.37048,,
37.04651,-76.55699,,
38.16366,-76.58097,,
38.18102,-76.6072,,
38.19445,-76.71781,,
38.2171,-76.84684,,
38.19638,-76.69695,,
38.19651,-76.6973,,
38.08362,-76.47885,,
38.06545,-76.46104,,
38.05525,-76.43349,,
38.77843,-9.03149,,
38.82548,-9.01164,,
38.97443,21.0299,,
39.07243,20.81544,,
38.99355,20.86432,,
37.63395,38.757,,
38.65568,39.50661,,
38.89247,38.88769,,
37.55875,89.09135,,
36.03735,140.39635,,
36.02188,140.41145,,
43.99994,-88.42036,,
43.15193,-74.16508,,
42.26696,19.13021,,
42.19059,19.29142,,
40.83096,47.02956,,
40.96349,46.63079,,
40.96335,46.63114,,
41.13665,68.03572,,
40.60265,67.49313,,
40.72296,67.37764,,
40.81159,67.32018,,
40.97871,66.00004,,
40.97588,66.55015,,
40.99453,66.31408,,
40.81991,67.25274,,
40.95263,66.59449,,
40.9411,66.73888,,
43.80874,77.99992,,
41.931,86.86189,,
47.85657,-114.11995,,
47.99986,-114.12886,,
44.46393,-110.53053,,
44.42238,-110.34582,,
47.61555,-102.26537,,
47.80349,-102.31321,,
47.94563,-106.45039,,
47.94563,-106.44999,,
47.52717,-101.73335,,
47.55313,-101.41249,,
47.60448,-101.25719,,
47.54029,-101.99988,,
44.11113,-90.00004,,
47.6504,-78.05919,,
45.39197,-73.81713,,
44.81621,-73.33989,,
46.13831,-72.97918,,
44.93223,-73.24245,,
45.41739,-73.75698,,
46.1489,-72.95976,,
44.48176,-73.33299,,
46.26276,-72.6659,,
44.51466,-73.3296,,
44.57185,-73.36235,,
47.01209,-70.70891,,
45.63817,-69.65349,,
45.99943,-66.00866,,
47.44845,-70.03513,,
47.33865,-70.35227,,
45.47572,-1.15769,,
46.98978,7.02825,,
45.86306,10.85989,,
46.99302,33.6762,,
47.32433,33.99862,,
46.26039,30.30092,,
46.38143,30.23098,,
46.27764,30.23212,,
47.99997,35.13796,,
47.48543,34.03532,,
46.25575,38.28881,,
46.50956,42.43995,,
46.48007,42.51071,,
47.93173,42.40164,,
46.4275,42.53907,,
46.3855,42.56983,,
46.41302,42.54362,,
47.72107,42.38553,,
47.8992,42.92532,,
47.99992,42.93044,,
47.78791,84.35735,,
47.98115,93.22728,,
48.28431,-116.5245,,
48.16525,-116.32871,,
48.02601,-114.14854,,
49.44319,-94.22382,,
48.63236,-93.0644,,
49.67492,-94.72737,,
48.64197,-93.24482,,
49.66896,-94.42114,,
48.83439,-93.3496,,
49.29021,-94.71058,,
48.73528,-93.27547,,
49.52489,-94.57491,,
48.63222,-93.06399,,
49.16294,-94.42348,,
49.4022,-94.85093,,
49.29021,-94.71017,,
49.66407,-94.44553,,
49.2618,-94.82093,,
48.77089,-93.27791,,
49.35481,-94.89419,,
49.14634,-94.43452,,
49.5478,-94.52712,,
49.01053,-94.66036,,
49.61165,-94.51478,,
49.16267,-94.42367,,
49.08083,-94.98563,,
49.08251,-94.96598,,
49.08442,-94.93318,,
49.07895,-95.00076,,
49.08324,-94.95491,,
49.08349,-94.94794,,
49.08287,-94.96065,,
48.47084,-80.97714,,
50.90857,-76.79951,,
49.84988,-77.65053,,
50.31798,-69.24721,,
50.67536,-70.76128,,
51.66097,-68.57849,,
50.10588,-69.05859,,
