name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_meas_types,planner,reobserve_reward,reward,reward_increment,sharing_horizon,planning_horizon,events,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,replan_het_event_obs_count,replan_het_events_seen,replan_het_event_reward,replan_het_planner_reward,replan_het_perc_cov,replan_het_max_rev,replan_het_avg_rev,replan_het_all_perc_cov,replan_het_all_max_rev,replan_het_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
grid_search_horizon2_0,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,1000,1000,7803,0,0,0,0,0,86400,86400,1,86400,86400,125,4494,125,93800,0.01601948,14208.4,2229.092603,1,86400,18317.92938,149,4699,149,86170,0.01909522,14208.4,2622.791606,1,86400,17899.42051,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,2074.924347
grid_search_horizon2_1,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,5000,1000,7803,0,0,0,0,0,86400,86400,1,86400,86400,9,1311,9,16880,0.001153403,10220,3120,1,86400,47390.6624,5,1339,5,16600,0.000640779,10220,3312,1,86400,46647.31506,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,804.3216302
grid_search_horizon2_2,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,10000,1000,7803,0,0,0,0,0,86400,86400,1,86400,86400,5,677,5,8510,0.000640779,10164.7,3312,1,86400,61531.37662,7,700,7,8550,0.000897091,10512.7,3497.142857,1,86400,61182.54064,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,661.9934745
grid_search_horizon2_3,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,20000,1000,7803,0,0,0,0,0,86400,86400,1,86400,86400,0,383,0,4470,0,86400,86400,1,86400,71431.14286,0,388,0,4480,0,86400,86400,1,86400,71327.80952,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,594.5405161
grid_search_horizon2_4,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,1000,5000,7803,0,0,0,0,0,86400,86400,1,86400,86400,143,4658,143,100210,0.018326285,14112.1,2350.654785,1,86400,18565.48758,87,4408,87,78540,0.011149558,13775.3,2515.431526,1,86400,17391.36277,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,1914.751713
grid_search_horizon2_5,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,5000,5000,7803,0,0,0,0,0,86400,86400,1,86400,86400,111,4311,111,82840,0.014225298,14097.2,2377.397752,1,86400,17661.86171,106,4472,106,79070,0.013584519,14097.2,2527.468248,1,86400,17229.65589,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,1463.768609
grid_search_horizon2_6,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,10000,5000,7803,0,0,0,0,0,86400,86400,1,86400,86400,51,2518,51,39440,0.006535948,14000.9,2428.693659,1,86400,28999.79296,37,2536,37,38980,0.004741766,13767.1,2702.098982,1,86400,28720.72478,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,1038.820899
grid_search_horizon2_7,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,20000,5000,7803,0,0,0,0,0,86400,86400,1,86400,86400,0,1326,0,19700,0,86400,86400,1,86400,43411.50215,0,1350,0,19860,0,86400,86400,1,86400,43203.30295,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,819.5065289
grid_search_horizon2_8,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,1000,10000,7803,0,0,0,0,0,86400,86400,1,86400,86400,144,4701,144,100430,0.018454441,13961,2421.104403,1,86400,18285.89012,90,4450,90,80620,0.011534025,14026.2,2492.405816,1,86400,17360.85191,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,2494.652994
grid_search_horizon2_9,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,5000,10000,7803,0,0,0,0,0,86400,86400,1,86400,86400,121,4460,121,93200,0.015506856,14042.3,2434.126309,1,86400,17849.11402,68,4245,68,75200,0.008714597,13828.5,2467.692895,1,86400,17530.90514,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,1580.781118
grid_search_horizon2_10,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,10000,10000,7803,0,0,0,0,0,86400,86400,1,86400,86400,96,4201,96,78110,0.01230296,13839.6,2484.681467,1,86400,17516.75627,110,4329,110,75540,0.014097142,13990.8,2685.187721,1,86400,17002.95708,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,1455.695305
grid_search_horizon2_11,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,20000,10000,7803,0,0,0,0,0,86400,86400,1,86400,86400,21,2350,21,37870,0.002691273,14079.1,3041.632653,1,86400,30044.01557,17,2391,17,37150,0.002178649,14079.1,2966.722689,1,86400,29276.47329,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,1040.37868
grid_search_horizon2_12,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,1000,20000,7803,0,0,0,0,0,86400,86400,1,86400,86400,126,4945,126,100260,0.016147636,14026.6,2476.970966,1,86400,19292.10176,92,4723,92,87270,0.011790337,13790.3,2496.103896,1,86400,18017.53652,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,3586.379337
grid_search_horizon2_13,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,5000,20000,7803,0,0,0,0,0,86400,86400,1,86400,86400,125,4825,125,98440,0.01601948,13968.2,2486.518808,1,86400,18399.25454,88,4433,88,79960,0.011277714,14028.3,2453.585051,1,86400,17249.27473,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,1840.163664
grid_search_horizon2_14,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,10000,20000,7803,0,0,0,0,0,86400,86400,1,86400,86400,102,4630,102,93820,0.013071895,14028.3,2444.294653,1,86400,17940.86014,62,4461,62,78950,0.007945662,13882.8,2511.49516,1,86400,17220.57533,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,1610.461607
grid_search_horizon2_15,30,0,2,0.1,14400,2.78E-05,5,1,3,dp,2,10,0.1,20000,20000,7803,0,0,0,0,0,86400,86400,1,86400,86400,99,4314,99,79060,0.012687428,13992.8,2449.963572,1,86400,17470.53802,84,4373,84,76470,0.01076509,13992.8,2511.339445,1,86400,17056.82554,441,6885,441,252010,0.056516724,14070,1565.250728,1,43110,6630.921833,1539.414531
