name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_13,30,1,2,0.01,21600,2.777777777777778e-05,5,8,3,dp,2,10,7788,12115,12161,84327,199,3917,199.0,63130,0.025552131484334873,17923.0,4013.7471071641926,1.0,86400.0,29102.246299359722,456,3806,456.0,81340,0.05855161787365177,17428.0,3917.794588427535,1.0,86400.0,32103.415967240708,2591,6999,2591.0,435060,0.33269131997945556,20700.0,3152.396399631893,1.0,86400.0,7024.983827311433,1258.7724664211273
oa_het_14,10,5,2,5,43200,2.777777777777778e-05,1,1,4,dp,2,10,1546,7607,7521,7692,356,1338,356.0,67710,0.23027166882276842,32428.373999999996,4805.183382119332,1.0,58947.986000000004,11195.829128272657,352,1336,352.0,66970,0.2276843467011643,32430.0,4812.712586038274,1.0,64629.224,11320.7947691972,356,1338,356.0,68020,0.23027166882276842,32430.0,4798.701675139757,1.0,58950.0,11093.006463386464,93.6836416721344
oa_het_15,30,1,2,1,21600,2.777777777777778e-06,10,8,2,dp,2,10,1555,34024,30963,70080,415,1007,415.0,18340,0.26688102893890675,21187.12000000001,6209.084650289469,1.0,86400.0,20638.871602675932,478,991,478.0,27270,0.307395498392283,21182.729999999996,5454.198149150483,1.0,86400.0,21571.61315075452,708,1188,708.0,39240,0.4553054662379421,21180.0,5529.594923316886,1.0,86400.0,14053.532474575279,2609.7008335590363
oa_het_16,10,5,2,1,3600,2.7777777777777776e-07,10,1,4,dp,2,10,181,64491,64038,79260,0,42,0,790,0.0,86400,86400,1.0,86400.0,15087.97431249976,0,40,0,810,0.0,86400,86400,1.0,86400.0,14677.258970787616,0,47,0,930,0.0,86400,86400,1.0,64660.0,11069.498161713578,3822.0065569877625
oa_het_17,30,10,2,0.01,3600,2.777777777777778e-06,10,4,4,dp,2,10,1551,40223,40219,271942,1,272,1.0,3740,0.0006447453255963894,1079.0,276.9230769230769,1.0,86400.0,21535.040669289665,3,326,3.0,5110,0.0019342359767891683,1219.0,308.3333333333333,1.0,86400.0,20821.353841380846,10,646,10.0,24730,0.006447453255963894,1790.0,168.25053388782737,1.0,86400.0,3915.671378003224,13001.873215198517
oa_het_18,30,5,2,0.01,43200,2.7777777777777776e-07,10,8,3,dp,2,10,152,19669,19180,162936,8,91,8.0,1710,0.05263157894736842,36410.0,7036.813186813187,1.0,86400.0,34373.57349111409,46,91,46.0,7230,0.3026315789473684,29190.0,6448.295977523448,1.0,86400.0,36375.665541789596,107,136,107.0,17330,0.7039473684210527,36480.0,6005.711754639898,1.0,86400.0,7036.5175088355145,2601.53071641922
oa_het_19,30,10,2,0.1,3600,2.777777777777778e-05,10,1,4,dp,2,10,15633,104209,89612,249241,4,5080,4.0,103300,0.00025586899507452183,1626.7000000000007,421.8181818181818,1.0,86400.0,9484.597798941752,8,4673,8.0,106270,0.0005117379901490437,1524.8999999999942,352.2791353383459,1.0,86400.0,10634.093724070268,20,6821,20.0,246650,0.0012793449753726093,2510.0,346.82018787663947,1.0,21830.0,3836.8262374002315,14757.695767879486
oa_het_20,10,10,2,5,21600,2.777777777777778e-05,10,8,4,dp,2,10,15457,117459,116172,100128,1544,12524,1544.0,609020,0.09989001746781394,20738.98199999999,2554.423038589325,1.0,86400.0,11214.285107714139,1526,12496,1526.0,632440,0.09872549653878501,21038.597999999998,2457.053286722479,1.0,86400.0,11317.1842898367,1548,12549,1548.0,531500,0.10014879989648703,21040.0,2665.3097635820745,1.0,86400.0,11463.43196248981,12290.965883493423
oa_het_21,60,10,2,1,43200,2.7777777777777776e-07,1,8,2,dp,2,10,20,10918,9649,15939,18,19,18.0,1150,0.9,33481.649999999994,7254.285714285715,1.0,86400.0,7833.659998380711,17,18,17.0,1240,0.85,33484.61,7174.789915966387,1.0,86400.0,8481.08687227351,18,19,18.0,1380,0.9,33490.0,6939.244089244089,1.0,86400.0,7133.402780457112,251.006343126297
oa_het_22,60,1,2,0.1,21600,2.777777777777778e-06,5,4,2,dp,2,10,744,19232,17183,77506,186,496,186.0,9890,0.25,21202.5,5731.231671554253,1.0,86400.0,20412.7016472529,284,488,284.0,16020,0.3817204301075269,21199.1,5094.761928772033,1.0,86400.0,19427.009625980343,649,668,649.0,39530,0.8723118279569892,21380.0,5209.972222970766,1.0,86400.0,6660.608888491175,1537.6348543167114
oa_het_23,60,10,2,1,21600,2.777777777777778e-08,5,4,2,dp,2,10,11,37426,32254,76618,7,8,7.0,330,0.6363636363636364,13536.319999999992,5708.571428571428,1.0,86400.0,10851.646433974129,7,8,7.0,600,0.6363636363636364,15720.0,4481.100266193434,1.0,86400.0,11385.207997366997,8,8,8.0,640,0.7272727272727273,15720.0,4810.0,1.0,86400.0,6680.188342400308,1879.8690180778503
oa_het_24,30,5,2,1,21600,2.777777777777778e-05,1,1,3,dp,2,10,1584,11177,10627,13753,481,1444,481.0,58240,0.3036616161616162,15949.770000000004,3359.430905015154,1.0,42437.54,6826.931362363679,462,1429,462.0,60770,0.2916666666666667,16297.009999999995,3245.630516703823,1.0,42440.0,7090.458730766587,503,1444,503.0,71270,0.317550505050505,15950.0,3138.160174814982,1.0,42440.0,6696.1954375259065,329.67634081840515
oa_het_25,60,1,2,5,3600,2.777777777777778e-05,1,8,3,dp,2,10,1584,27923,25151,34973,42,647,42.0,25500,0.026515151515151516,2167.8620000000083,327.5247721466209,1.0,86400.0,3721.099276691366,51,633,51.0,26350,0.032196969696969696,2167.8620000000083,271.87656603701043,1.0,86400.0,4079.1720719929012,54,660,54.0,31410,0.03409090909090909,2380.0,233.53794646711316,1.0,86400.0,3607.0669531329595,659.0105516910553
oa_het_26,60,10,2,0.1,3600,2.7777777777777776e-07,5,4,2,dp,2,10,62,21761,19827,78078,1,6,1.0,80,0.016129032258064516,3355.2000000000044,1200.0,1.0,86400.0,19708.258741569327,2,6,2.0,90,0.03225806451612903,2219.2000000000007,1050.0,1.0,86400.0,18358.56330116166,13,16,13.0,510,0.20967741935483872,3060.0,900.1923076923077,1.0,86400.0,6740.841941434524,1424.7767221927643
oa_het_27,30,10,2,0.1,3600,2.777777777777778e-06,5,8,4,dp,2,10,752,58795,52155,146770,6,271,6.0,5940,0.007978723404255319,1292.300000000001,281.8531468531468,1.0,86400.0,8032.094305180618,14,273,14.0,8940,0.018617021276595744,2145.100000000002,202.45770343120577,1.0,86400.0,7897.890331466891,15,344,15.0,15340,0.0199468085106383,2040.0,163.64442332735018,1.0,86400.0,4303.942252751872,3341.7736802101135
