name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_meas_types,planner,reobserve_reward,reward,reward_increment,time_horizon,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
grid_search_0,30,0,2,1,14400,2.777777777777778e-06,10,1,3,dp,2,5,0.1,500,1584,56053,50094,140364,32,1003,32.0,10950,0.020202020202020204,14030.199999999997,2328.460923404953,1.0,86400.0,18877.770070037986,45,1079,45.0,15845,0.028409090909090908,14035.050000000003,1799.2565844716858,1.0,86400.0,15185.284542608491,78,1386,78.0,26830,0.04924242424242424,14050.0,1450.8656502439553,1.0,43100.0,6613.669380423144,15447.752776384354
grid_search_1,30,0,2,1,14400,2.777777777777778e-06,10,1,3,dp,2,5,0.1,1000,1584,56053,52065,140364,32,1003,32.0,10950,0.020202020202020204,14030.199999999997,2328.460923404953,1.0,86400.0,18877.770070037986,43,1090,43.0,17040,0.027146464646464648,14035.050000000003,1732.548883689864,1.0,86400.0,13870.839845163187,78,1386,78.0,26830,0.04924242424242424,14050.0,1450.8656502439553,1.0,43100.0,6613.669380423144,6767.327723503113
grid_search_2,30,0,2,1,14400,2.777777777777778e-06,10,1,3,dp,2,5,0.1,5000,1584,56053,53419,140364,32,1003,32.0,10950,0.020202020202020204,14030.199999999997,2328.460923404953,1.0,86400.0,18877.770070037986,36,996,36.0,13290,0.022727272727272728,14034.61,1833.7537932196024,1.0,86400.0,13041.57908167233,78,1386,78.0,26830,0.04924242424242424,14050.0,1450.8656502439553,1.0,43100.0,6613.669380423144,7020.707538366318
grid_search_3,30,0,2,1,14400,2.777777777777778e-06,10,1,3,dp,2,5,0.5,500,1584,56053,50161,140364,32,1003,32.0,10950,0.020202020202020204,14030.199999999997,2328.460923404953,1.0,86400.0,18877.770070037986,31,1072,31.0,11795,0.019570707070707072,14060.0,2281.7597731847895,1.0,86400.0,16149.750235171252,78,1386,78.0,26830,0.04924242424242424,14050.0,1450.8656502439553,1.0,43100.0,6613.669380423144,9051.775209665298
grid_search_4,30,0,2,1,14400,2.777777777777778e-06,10,1,3,dp,2,5,0.5,1000,1584,56053,52382,140364,32,1003,32.0,10950,0.020202020202020204,14030.199999999997,2328.460923404953,1.0,86400.0,18877.770070037986,34,1071,34.0,12535,0.021464646464646464,14060.0,2321.782335311747,1.0,86400.0,15710.934641487904,78,1386,78.0,26830,0.04924242424242424,14050.0,1450.8656502439553,1.0,43100.0,6613.669380423144,6568.104805231094
