name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,diff_perc_cov,diff_num_coobs,diff_avg_rev,init percent coverage of possible events,replan percent coverage of possible events,diff percent coverage of possible events,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_69,10,5,2,0.01,3600,2.78E-05,10,4,4,dp,2,10,15639,24565,23059,94632,9,1958,9,25660,0.000575484,1239,294.2337075,1,86400,29075.57429,17,1799,17,28050,0.001087026,2372,220.838582,1,86400,31589.7581,0.000511542,8,-73.39512545,0.321428571,0.607142857,0.285714286,28,3906,28,93240,0.001790396,2520,169.4072937,1,86400,11125.15647,3030.241222
oa_het_79,60,5,2,0.01,21600,2.78E-08,5,1,2,dp,2,10,8,7459,8401,71228,1,4,1,50,0.125,17156,7200,1,86400,39318.71649,1,5,1,80,0.125,7663,5400,1,86400,35943.51785,0,0,-1800,0.142857143,0.142857143,0,7,8,7,530,0.875,19970,3997.714286,1,22380,6597.968348,700.7879503
oa_het_98,10,5,2,0.01,43200,2.78E-08,10,1,2,dp,2,10,19,5465,5393,19811,0,1,0,10,0,86400,86400,1,86400,61376.62356,1,6,1,80,0.052631579,28030,10800,1,86400,63415.95395,0.052631579,1,-75600,0,0.2,0.2,5,9,5,170,0.263157895,39690,12960,1,86400,34209.8746,373.1015918
oa_het_0,60,5,2,0.1,21600,2.78E-06,1,8,3,dp,2,10,148,14929,13159,35750,48,130,48,6160,0.324324324,16425.3,3001.515313,1,86400,6242.076085,59,129,59,10260,0.398648649,16011.3,2308.576414,1,86400,6107.495353,0.074324325,11,-692.938899,0.666666667,0.819444444,0.152777778,72,137,72,13660,0.486486486,16470,2249.29408,1,86400,3343.074708,93.46545506
oa_het_13,30,5,2,0.1,43200,2.78E-05,5,1,2,dp,2,10,7719,10941,10029,30746,2018,4820,2018,98490,0.261432828,43047.3,11379.05181,1,86400,29378.43581,2082,4352,2082,100800,0.269724058,43012.7,10996.67272,1,86400,34834.41064,0.00829123,64,-382.37909,0.419629861,0.432938241,0.01330838,4809,6547,4809,273310,0.623008162,43110,10144.14484,1,64290,13627.50955,586.5146062
oa_het_130,10,5,2,0.1,43200,2.78E-05,10,8,3,dp,2,10,15518,31790,30409,55888,1680,11024,1680,283780,0.108261374,40366.1,6960.882248,1,86400,26765.37395,1852,10547,1852,298410,0.119345276,40868.1,6738.718107,1,86400,28457.41424,0.011083903,172,-222.1641403,0.59447983,0.655343241,0.060863411,2826,12030,2826,491450,0.182111097,40090,6002.774222,1,86400,20898.48877,2616.732419
oa_het_152,30,5,2,0.1,21600,2.78E-05,1,1,2,dp,2,10,1579,3745,3570,6115,504,1045,504,19710,0.31918936,21390.7,6223.908948,1,86400,17452.90453,495,1042,495,21490,0.31348955,21510,5861.449702,1,86400,18300.75804,-0.00569981,-9,-362.4592464,0.725179856,0.712230216,-0.01294964,695,1170,695,31420,0.440151995,21510,5670.725878,1,64230,13607.42152,80.15610623
oa_het_163,30,5,2,0.1,21600,2.78E-08,5,4,3,dp,2,10,10,28316,25724,76726,0,8,0,170,0,86400,86400,1,86400,14103.17101,3,9,3,500,0.3,14021.8,3200,1,86400,14523.67094,0.3,3,-83200,0,1,1,3,10,3,590,0.3,14060,3184.615385,1,86400,6710.835474,1076.614876
oa_het_17,60,5,2,0.1,43200,2.78E-08,1,4,2,dp,2,10,1,6491,5875,14974,1,1,1,40,1,36336.2,8640,1,86400,11965.56921,1,1,1,60,1,36360.7,6171.428571,1,86400,11363.94168,0,0,-2468.571429,1,1,0,1,1,1,80,1,36420,4800,1,86400,6695.284919,131.2396948
oa_het_170,10,5,2,0.1,3600,2.78E-06,1,1,2,dp,2,10,147,1861,1839,1920,3,9,3,140,0.020408163,2403.3,1040,1,86400,34707.30829,3,9,3,150,0.020408163,2370,940,1,86400,35035.06973,0,0,-100,1,1,0,3,9,3,150,0.020408163,2370,940,1,86400,34457.51377,53.87466884
oa_het_197,30,5,2,0.1,21600,2.78E-06,10,4,2,dp,2,10,1511,20667,18738,68699,166,668,166,10240,0.109861019,21434.7,6302.501053,1,86400,31367.13116,241,650,241,14170,0.159497022,21143.5,5486.656064,1,86400,34907.63631,0.049636003,75,-815.8449895,0.244117647,0.354411765,0.110294118,680,1157,680,34440,0.450033091,21450,5623.142736,1,86400,13595.09165,1377.482443
oa_het_28,10,5,2,0.1,21600,2.78E-06,5,4,4,dp,2,10,797,29266,27639,43543,50,610,50,16830,0.062735257,11153.4,2881.286692,1,86400,13637.0285,67,607,67,21050,0.084065245,14670,2599.576907,1,86400,13952.23397,0.021329988,17,-281.709785,0.595238095,0.797619048,0.202380952,84,656,84,24450,0.105395232,14670,2726.769799,1,86400,11167.57175,1085.522534
oa_het_41,10,5,2,0.1,43200,2.78E-05,1,8,4,dp,2,10,1663,7469,7375,8151,355,1444,355,69270,0.213469633,32459.2,4999.807011,1,86400,11892.92218,346,1441,346,70590,0.208057727,32400,4886.471621,1,86400,12069.00165,-0.005411906,-9,-113.33539,0.975274725,0.950549451,-0.024725275,364,1445,364,74700,0.218881539,32480,4903.910573,1,86400,11676.3307,416.0974731
